team1,team1_url,team1_logo,term
Снежные Барсы,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112241/result/,https://img.championat.com/team/logo/15530021931337153030.png,hokkey>mhl
Чайка,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112257/result/,https://img.championat.com/team/logo/15345391161742712425.png,hokkey>mhl
Омские Ястребы,https://www.championat.com/hockey/_mhl/tournament/2809/teams/112227/result/,https://img.championat.com/team/logo/1536011771473650098.png,hokkey>mhl
Марсель,https://www.championat.com/football/_france/tournament/2617/teams/100781/result/,https://img.championat.com/team/logo/1467974889410364083.png,soccer>liga1
Нант,https://www.championat.com/football/_france/tournament/2617/teams/100779/result/,https://img.championat.com/team/logo/14679750811321483974.png,soccer>liga1
Анже,https://www.championat.com/football/_france/tournament/2617/teams/100805/result/,https://img.championat.com/team/logo/14679742581602632101.png,soccer>liga1
Лилль,https://www.championat.com/football/_france/tournament/2617/teams/100789/result/,https://img.championat.com/team/logo/1533678031366287247.png,soccer>liga1
Монпелье,https://www.championat.com/football/_france/tournament/2617/teams/100801/result/,https://img.championat.com/team/logo/1467975041799833268.png,soccer>liga1
Ницца,https://www.championat.com/football/_france/tournament/2617/teams/100787/result/,https://img.championat.com/team/logo/14679751201569299850.png,soccer>liga1
Сент-Этьен,https://www.championat.com/football/_france/tournament/2617/teams/100795/result/,https://img.championat.com/team/logo/14679752992060838910.png,soccer>liga1
Лион,https://www.championat.com/football/_france/tournament/2617/teams/100773/result/,https://img.championat.com/team/logo/14679747732018446202.png,soccer>liga1
Бордо,https://www.championat.com/football/_france/tournament/2617/teams/100783/result/,https://img.championat.com/team/logo/14679744791598933686.png,soccer>liga1
ПСЖ,https://www.championat.com/football/_france/tournament/2617/teams/100777/result/,https://img.championat.com/team/logo/1467975169671990612.png,soccer>liga1
Реймс,https://www.championat.com/football/_france/tournament/2617/teams/100807/result/,https://img.championat.com/team/logo/1569350058914292250.png,soccer>liga1
Генгам,https://www.championat.com/football/_france/tournament/2617/teams/100799/result/,https://img.championat.com/team/logo/1467974544289099289.png,soccer>liga1
Амьен,https://www.championat.com/football/_france/tournament/2617/teams/100803/result/,https://img.championat.com/team/logo/1504639581125612915.png,soccer>liga1
Кан,https://www.championat.com/football/_france/tournament/2617/teams/100797/result/,https://img.championat.com/team/logo/1470982235392578506.png,soccer>liga1
Дижон,https://www.championat.com/football/_france/tournament/2617/teams/100809/result/,https://img.championat.com/team/logo/14711311891114165144.png,soccer>liga1
Монако,https://www.championat.com/football/_france/tournament/2617/teams/100775/result/,https://img.championat.com/team/logo/1467974946805228120.png,soccer>liga1
Ренн,https://www.championat.com/football/_france/tournament/2617/teams/100785/result/,https://img.championat.com/team/logo/1467975251750676666.png,soccer>liga1
Страсбург,https://www.championat.com/football/_france/tournament/2617/teams/100791/result/,https://img.championat.com/team/logo/1471169395629050033.png,soccer>liga1
Тулуза,https://www.championat.com/football/_france/tournament/2617/teams/100793/result/,https://img.championat.com/team/logo/1533678117470126938.png,soccer>liga1
Ним,https://www.championat.com/football/_france/tournament/2617/teams/100811/result/,https://img.championat.com/team/logo/1533678077255279643.png,soccer>liga1
Ак Барс,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99227/result/,https://img.championat.com/team/logo/1467223627866443263.png,hokkey>khl
Автомобилист,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99225/result/,https://img.championat.com/team/logo/1467223858948139818.png,hokkey>khl
Металлург Мг,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99229/result/,https://img.championat.com/team/logo/14873432861635035570.png,hokkey>khl
Трактор,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99235/result/,https://img.championat.com/team/logo/15356268941982599430.png,hokkey>khl
Северсталь,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99207/result/,https://img.championat.com/team/logo/15498790801733912891.png,hokkey>khl
Динамо М,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99201/result/,https://img.championat.com/team/logo/1467224013614930122.png,hokkey>khl
Спартак,https://www.championat.com/hockey/_superleague/tournament/2593/teams/99211/result/,https://img.championat.com/team/logo/14751955781691057475.png,hokkey>khl
